2026-03-17 10:55:53 | INFO     | investment_agent | ✅ MarketDataService 初始化完成 (iFinD 已连接)。
2026-03-17 10:55:53 | INFO     | investment_agent | 请求数据：000001 (stock)
2026-03-17 10:55:53 | INFO     | investment_agent | 🌐 [Cache Miss] 本地无数据，调用 iFinD 获取 000001...
2026-03-17 10:55:53 | INFO     | investment_agent | [iFinD] 获取 stock 数据：000001 (2026-03-16 ~ 2026-03-16)
2026-03-17 10:56:01 | ERROR    | investment_agent | [iFinD] 数据获取失败：'THSData' object has no attribute 'empty'
2026-03-17 10:56:01 | ERROR    | investment_agent | ❌ 获取外部数据失败：'THSData' object has no attribute 'empty'
2026-03-17 10:56:01 | INFO     | investment_agent | 🛑 检测到程序退出，正在清理 iFinD 资源...
2026-03-17 10:56:01 | INFO     | investment_agent | 👋 正在断开 iFinD 连接...
2026-03-17 10:56:01 | INFO     | investment_agent | ✅ iFinD 已安全断开。
2026-03-17 10:58:22 | INFO     | investment_agent | 🚀 正在初始化 MarketDataService...
2026-03-17 10:58:22 | INFO     | investment_agent | 🔑 正在连接 iFinD 数据终端...
2026-03-17 10:58:26 | INFO     | investment_agent | ✅ iFinD 连接成功 (会话保持中)。
2026-03-17 10:58:26 | INFO     | investment_agent | ✅ MarketDataService 初始化完成 (iFinD 已连接)。
2026-03-17 10:58:26 | INFO     | investment_agent | 请求数据：000001.SZ (stock)
2026-03-17 10:58:26 | INFO     | investment_agent | 🌐 [Cache Miss] 本地无数据，调用 iFinD 获取 000001.SZ...
2026-03-17 10:58:26 | INFO     | investment_agent | [iFinD] 获取 stock 数据：000001.SZ (2026-03-16 ~ 2026-03-16)
2026-03-17 10:58:35 | ERROR    | investment_agent | [iFinD] 数据获取失败：'THSData' object has no attribute 'empty'
2026-03-17 10:58:35 | ERROR    | investment_agent | ❌ 获取外部数据失败：'THSData' object has no attribute 'empty'
2026-03-17 10:58:35 | INFO     | investment_agent | 🛑 检测到程序退出，正在清理 iFinD 资源...
2026-03-17 10:58:35 | INFO     | investment_agent | 👋 正在断开 iFinD 连接...
2026-03-17 10:58:35 | INFO     | investment_agent | ✅ iFinD 已安全断开。
2026-03-17 10:59:24 | INFO     | investment_agent | 🚀 正在初始化 MarketDataService...
2026-03-17 10:59:24 | INFO     | investment_agent | 🔑 正在连接 iFinD 数据终端...
2026-03-17 10:59:29 | INFO     | investment_agent | ✅ iFinD 连接成功 (会话保持中)。
2026-03-17 10:59:29 | INFO     | investment_agent | ✅ MarketDataService 初始化完成 (iFinD 已连接)。
2026-03-17 10:59:29 | INFO     | investment_agent | 请求数据：000001.SZ (stock)
2026-03-17 10:59:29 | INFO     | investment_agent | 🌐 [Cache Miss] 本地无数据，调用 iFinD 获取 000001.SZ...
2026-03-17 10:59:29 | INFO     | investment_agent | [iFinD] 获取 stock 数据：000001.SZ (2026-03-16 ~ 2026-03-16)
2026-03-17 11:01:22 | INFO     | investment_agent | 🛑 检测到程序退出，正在清理 iFinD 资源...
2026-03-17 11:01:22 | INFO     | investment_agent | 👋 正在断开 iFinD 连接...
2026-03-17 11:01:22 | INFO     | investment_agent | ✅ iFinD 已安全断开。
2026-03-17 11:01:32 | INFO     | investment_agent | 🚀 正在初始化 MarketDataService...
2026-03-17 11:01:32 | INFO     | investment_agent | 🔑 正在连接 iFinD 数据终端...
2026-03-17 11:01:36 | INFO     | investment_agent | ✅ iFinD 连接成功 (会话保持中)。
2026-03-17 11:01:36 | INFO     | investment_agent | ✅ MarketDataService 初始化完成 (iFinD 已连接)。
2026-03-17 11:01:36 | INFO     | investment_agent | 请求数据：000001.SZ (stock)
2026-03-17 11:01:36 | INFO     | investment_agent | 🌐 [Cache Miss] 本地无数据，调用 iFinD 获取 000001.SZ...
2026-03-17 11:01:36 | INFO     | investment_agent | [iFinD] 获取 stock 数据：000001.SZ (2026-03-16 ~ 2026-03-16)
2026-03-17 11:01:44 | INFO     | investment_agent | [iFinD] 成功获取 1 条记录。
2026-03-17 11:01:44 | ERROR    | investment_agent | AkShare 返回数据缺少关键列: ['close']. 当前列: ['date', 'scrt_code', 'close_price', 'trade_date']
2026-03-17 11:01:44 | ERROR    | investment_agent | 数据样例:
        date  scrt_code  close_price trade_date
0 2026-03-16  000001.SZ        10.92   20260316
2026-03-17 11:01:44 | INFO     | investment_agent | 💾 数据已保存至本地缓存。
2026-03-17 11:01:44 | INFO     | investment_agent | 请求数据：510300.SH (etf)
2026-03-17 11:01:44 | INFO     | investment_agent | 🌐 [Cache Miss] 本地无数据，调用 iFinD 获取 510300.SH...
2026-03-17 11:01:44 | INFO     | investment_agent | [iFinD] 获取 etf 数据：510300.SH (2026-03-16 ~ 2026-03-16)
2026-03-17 11:01:44 | INFO     | investment_agent | [iFinD] 成功获取 1 条记录。
2026-03-17 11:01:44 | ERROR    | investment_agent | AkShare 返回数据缺少关键列: ['close']. 当前列: ['date', 'scrt_code', 'close_price', 'trade_date']
2026-03-17 11:01:44 | ERROR    | investment_agent | 数据样例:
        date  scrt_code  close_price trade_date
0 2026-03-16  510300.SH         4.68   20260316
2026-03-17 11:01:44 | INFO     | investment_agent | 💾 数据已保存至本地缓存。
2026-03-17 11:01:44 | INFO     | investment_agent | 🛑 检测到程序退出，正在清理 iFinD 资源...
2026-03-17 11:01:44 | INFO     | investment_agent | 👋 正在断开 iFinD 连接...
2026-03-17 11:01:44 | INFO     | investment_agent | ✅ iFinD 已安全断开。
2026-03-17 12:57:53 | INFO     | investment_agent | 🚀 正在初始化 MarketDataService...
2026-03-17 12:57:53 | INFO     | investment_agent | 🔑 正在连接 iFinD 数据终端...
2026-03-17 12:57:59 | INFO     | investment_agent | ✅ iFinD 连接成功 (会话保持中)。
2026-03-17 12:57:59 | INFO     | investment_agent | ✅ MarketDataService 初始化完成 (iFinD 已连接)。
2026-03-17 12:57:59 | INFO     | investment_agent | 开始计算组合损益，基准日期: 20260317
2026-03-17 12:57:59 | INFO     | investment_agent | 正在加载持仓文件: D:\Study\Program\investment_agent\holdings_template.csv
2026-03-17 12:57:59 | INFO     | investment_agent | 成功加载 2 只持仓标的。
2026-03-17 12:57:59 | INFO     | investment_agent | 请求数据：600159.SH (stock)
2026-03-17 12:57:59 | INFO     | investment_agent | 🌐 [Cache Miss] 本地无数据，调用 iFinD 获取 600159.SH...
2026-03-17 12:57:59 | INFO     | investment_agent | [iFinD] 获取 stock 数据：600159.SH (2026-03-17 ~ 2026-03-17)
2026-03-17 12:58:12 | INFO     | investment_agent | [iFinD] 成功获取 1 条记录。
2026-03-17 12:58:12 | WARNING  | investment_agent | 无法处理的日期类型: <class 'pandas.core.series.Series'>
2026-03-17 12:58:12 | INFO     | investment_agent | ℹ️ [DB] 数据已存在或无有效数据，未写入新记录 (600159.SH)
2026-03-17 12:58:12 | INFO     | investment_agent | 💾 数据已保存至本地缓存。
2026-03-17 12:58:12 | INFO     | investment_agent | 请求数据：510300.SH (etf)
2026-03-17 12:58:12 | INFO     | investment_agent | 🌐 [Cache Miss] 本地无数据，调用 iFinD 获取 510300.SH...
2026-03-17 12:58:12 | INFO     | investment_agent | [iFinD] 获取 etf 数据：510300.SH (2026-03-17 ~ 2026-03-17)
2026-03-17 12:58:12 | INFO     | investment_agent | [iFinD] 成功获取 1 条记录。
2026-03-17 12:58:12 | WARNING  | investment_agent | 无法处理的日期类型: <class 'pandas.core.series.Series'>
2026-03-17 12:58:12 | INFO     | investment_agent | ℹ️ [DB] 数据已存在或无有效数据，未写入新记录 (510300.SH)
2026-03-17 12:58:12 | INFO     | investment_agent | 💾 数据已保存至本地缓存。
2026-03-17 12:58:12 | INFO     | investment_agent | ==============================
2026-03-17 12:58:12 | INFO     | investment_agent | 组合总览 (20260317):
2026-03-17 12:58:12 | INFO     | investment_agent | 总市值: 2,657.00
2026-03-17 12:58:12 | INFO     | investment_agent | 总盈亏: -149,243.00
2026-03-17 12:58:12 | INFO     | investment_agent | 总收益率: -98.25%
2026-03-17 12:58:12 | INFO     | investment_agent | ==============================
2026-03-17 12:58:12 | INFO     | investment_agent | 🛑 检测到程序退出，正在清理 iFinD 资源...
2026-03-17 12:58:12 | INFO     | investment_agent | 👋 正在断开 iFinD 连接...
2026-03-17 12:58:12 | INFO     | investment_agent | ✅ iFinD 已安全断开。
2026-03-17 21:23:12 | INFO     | investment_agent | 🚀 正在初始化 MarketDataService...
2026-03-17 21:23:12 | INFO     | investment_agent | 🔑 正在连接 iFinD 数据终端...
2026-03-17 21:23:17 | INFO     | investment_agent | ✅ iFinD 连接成功 (会话保持中)。
2026-03-17 21:23:17 | INFO     | investment_agent | ✅ MarketDataService 初始化完成 (iFinD 已连接)。
2026-03-17 21:23:17 | INFO     | investment_agent | 工具调用：calculate_portfolio_pnl, 日期=None, 文件=holdings_template.csv
2026-03-17 21:23:17 | ERROR    | investment_agent | 文件未找到: 持仓文件未找到: holdings_template.csv
2026-03-17 21:23:17 | INFO     | investment_agent | 🛑 检测到程序退出，正在清理 iFinD 资源...
2026-03-17 21:23:17 | INFO     | investment_agent | 👋 正在断开 iFinD 连接...
2026-03-17 21:23:17 | INFO     | investment_agent | ✅ iFinD 已安全断开。
2026-03-17 21:31:01 | INFO     | investment_agent | 🚀 正在初始化 MarketDataService...
2026-03-17 21:31:01 | INFO     | investment_agent | 🔑 正在连接 iFinD 数据终端...
2026-03-17 21:31:06 | INFO     | investment_agent | ✅ iFinD 连接成功 (会话保持中)。
2026-03-17 21:31:06 | INFO     | investment_agent | ✅ MarketDataService 初始化完成 (iFinD 已连接)。
